Date,Month,Day,End of Night,Start of Night
1,January,1/1/2024,1/1/2024 6:11,1/1/2024 17:36
2,January,1/2/2024,1/2/2024 6:11,1/2/2024 17:37
3,January,1/3/2024,1/3/2024 6:11,1/3/2024 17:38
4,January,1/4/2024,1/4/2024 6:12,1/4/2024 17:38
5,January,1/5/2024,1/5/2024 6:12,1/5/2024 17:39
6,January,1/6/2024,1/6/2024 6:12,1/6/2024 17:40
7,January,1/7/2024,1/7/2024 6:12,1/7/2024 17:41
8,January,1/8/2024,1/8/2024 6:12,1/8/2024 17:42
9,January,1/9/2024,1/9/2024 6:11,1/9/2024 17:43
10,January,1/10/2024,1/10/2024 6:11,1/10/2024 17:44
11,January,1/11/2024,1/11/2024 6:11,1/11/2024 17:45
12,January,1/12/2024,1/12/2024 6:11,1/12/2024 17:46
13,January,1/13/2024,1/13/2024 6:11,1/13/2024 17:47
14,January,1/14/2024,1/14/2024 6:10,1/14/2024 17:48
15,January,1/15/2024,1/15/2024 6:10,1/15/2024 17:49
16,January,1/16/2024,1/16/2024 6:10,1/16/2024 17:50
17,January,1/17/2024,1/17/2024 6:10,1/17/2024 17:51
18,January,1/18/2024,1/18/2024 6:09,1/18/2024 17:52
19,January,1/19/2024,1/19/2024 6:09,1/19/2024 17:53
20,January,1/20/2024,1/20/2024 6:08,1/20/2024 17:54
21,January,1/21/2024,1/21/2024 6:08,1/21/2024 17:55
22,January,1/22/2024,1/22/2024 6:07,1/22/2024 17:56
23,January,1/23/2024,1/23/2024 6:07,1/23/2024 17:57
24,January,1/24/2024,1/24/2024 6:06,1/24/2024 17:59
25,January,1/25/2024,1/25/2024 6:05,1/25/2024 18:00
26,January,1/26/2024,1/26/2024 6:05,1/26/2024 18:01
27,January,1/27/2024,1/27/2024 6:04,1/27/2024 18:02
28,January,1/28/2024,1/28/2024 6:03,1/28/2024 18:03
29,January,1/29/2024,1/29/2024 6:02,1/29/2024 18:04
30,January,1/30/2024,1/30/2024 6:02,1/30/2024 18:05
31,January,1/31/2024,1/31/2024 6:01,1/31/2024 18:06
1,February,2/1/2024,2/1/2024 6:00,2/1/2024 18:08
2,February,2/2/2024,2/2/2024 5:59,2/2/2024 18:09
3,February,2/3/2024,2/3/2024 5:58,2/3/2024 18:10
4,February,2/4/2024,2/4/2024 5:57,2/4/2024 18:11
5,February,2/5/2024,2/5/2024 5:56,2/5/2024 18:12
6,February,2/6/2024,2/6/2024 5:55,2/6/2024 18:13
7,February,2/7/2024,2/7/2024 5:54,2/7/2024 18:15
8,February,2/8/2024,2/8/2024 5:53,2/8/2024 18:16
9,February,2/9/2024,2/9/2024 5:52,2/9/2024 18:17
10,February,2/10/2024,2/10/2024 5:51,2/10/2024 18:18
11,February,2/11/2024,2/11/2024 5:50,2/11/2024 18:19
12,February,2/12/2024,2/12/2024 5:49,2/12/2024 18:20
13,February,2/13/2024,2/13/2024 5:47,2/13/2024 18:22
14,February,2/14/2024,2/14/2024 5:46,2/14/2024 18:23
15,February,2/15/2024,2/15/2024 5:45,2/15/2024 18:24
